x LHS_beta=90.000 LHS_beta=900.000 LHS_beta=9000.000 LHS_beta=90000.000 LHS_beta=900000.000 LHS_beta=9000000.000 RHS_beta=90.000 RHS_beta=900.000 RHS_beta=9000.000 RHS_beta=90000.000 RHS_beta=900000.000 RHS_beta=9000000.000
9.540447106625814781e-06 1.027248893147931274e+12 1.027242645034599805e+13 1.026618293962290781e+14 9.684662866353690000e+14 2.391841325689666000e+15 2.392734253273753000e+15 2.195789482238540659e+05 2.195736060213059783e+08 2.190402215692361145e+11 1.730998945425880938e+14 3.815207724817632031e+13 0.000000000000000000e+00
9.519502107489424315e-06 1.042433528010568237e+12 1.042427215347437891e+13 1.041796412012204844e+14 9.830257740353291250e+14 2.432520245159256000e+15 2.433445643140844500e+15 2.195223475773216924e+05 2.195170301761095524e+08 2.189861183332498779e+11 1.732301910910663125e+14 3.895302763474456250e+13 0.000000000000000000e+00
9.498557108353033849e-06 1.057576833577952759e+12 1.057570457362350781e+13 1.056933301386950312e+14 9.975529841518702500e+14 2.473281071904372500e+15 2.474239884648978500e+15 2.194620266884196026e+05 2.194567341147164702e+08 2.189282975362467041e+11 1.733572983849646875e+14 3.977029783843533594e+13 0.000000000000000000e+00
9.477612109216645078e-06 1.072676132511493164e+12 1.072669693750854297e+13 1.072026285769099531e+14 1.012045344190757000e+15 2.514118055119343500e+15 2.515111249516374000e+15 2.193979668706877274e+05 2.193926991499695480e+08 2.188667404213972778e+11 1.734811917681381250e+14 4.060420633674500781e+13 0.000000000000000000e+00
9.456667110080254612e-06 1.087728732904155151e+12 1.087722232615838477e+13 1.087072674254400781e+14 1.026500265162287625e+15 2.555025358608965500e+15 2.556053924477974000e+15 2.193301496526114352e+05 2.193249068096490800e+08 2.188014284460261841e+11 1.736018467121622812e+14 4.145507744907830469e+13 0.000000000000000000e+00
9.435722110943864146e-06 1.102731929026830078e+12 1.102725368237932031e+13 1.102069762097662656e+14 1.040915142579345500e+15 2.595997061599632500e+15 2.597062012100018500e+15 2.192585567826525366e+05 2.192533388415040374e+08 2.187323432866468811e+11 1.737192388215171250e+14 4.232324143483157812e+13 0.000000000000000000e+00
9.414777111807473681e-06 1.117683002091497070e+12 1.117676381838661133e+13 1.117014831475435000e+14 1.055287357172470875e+15 2.637027159601089000e+15 2.638129531645131500e+15 2.191831702342856734e+05 2.191779772182885408e+08 2.186594668440020447e+11 1.738333438387986250e+14 4.320903459275993750e+13 0.000000000000000000e+00
9.393832112671083215e-06 1.132579221030981689e+12 1.132572542360199609e+13 1.131905152265288438e+14 1.069614275621787625e+15 2.678109565319118000e+15 2.679250419988238000e+15 2.191039722110376752e+05 2.190988041428009868e+08 2.185827812481071777e+11 1.739441376499562188e+14 4.411279936189716406e+13 0.000000000000000000e+00
9.372887113534692749e-06 1.147417843295124268e+12 1.147411107261536719e+13 1.146737982841509844e+14 1.083893251305633125e+15 2.719238109619539000e+15 2.720418532583675000e+15 2.190209451515285473e+05 2.190158020529255569e+08 2.185022688632960815e+11 1.740515962895551562e+14 4.503488442385779688e+13 0.000000000000000000e+00
9.351942114398302284e-06 1.162196115663158447e+12 1.162189323330848047e+13 1.161510570887009688e+14 1.098121625065715875e+15 2.760406542543826500e+15 2.761627644483807500e+15 2.189340717345126322e+05 2.189289536266728640e+08 2.184179122932666626e+11 1.741556959460622188e+14 4.597564480674554688e+13 0.000000000000000000e+00
9.330997115261911818e-06 1.176911275072058105e+12 1.176904427513839844e+13 1.176220154221206719e+14 1.112296725988603000e+15 2.801608534376618500e+15 2.802871451409405000e+15 2.188433348839176761e+05 2.188382417872196734e+08 2.183296943861253052e+11 1.742564129671530000e+14 4.693544199044346875e+13 0.000000000000000000e+00
9.310052116125521352e-06 1.191560549460639404e+12 1.191553647757845312e+13 1.190863961643665156e+14 1.126415872203343250e+15 2.842837676765392500e+15 2.844143570872056500e+15 2.187487177738808969e+05 2.187436497079446316e+08 2.182375982394278564e+11 1.743537238650397500e+14 4.791464401358490625e+13 0.000000000000000000e+00
9.289107116989130886e-06 1.206141158629134521e+12 1.206134203871393750e+13 1.205439213793216562e+14 1.140476371694988000e+15 2.884087483892495000e+15 2.885437543348800000e+15 2.186502038337794947e+05 2.186451608174586594e+08 2.181416072052156372e+11 1.744476053218177812e+14 4.891362558185742188e+13 0.000000000000000000e+00
9.268162117852740421e-06 1.220650315113992188e+12 1.220643308399006836e+13 1.219943124022308750e+14 1.154475523133788750e+15 2.925351393699733500e+15 2.926746833509174000e+15 2.185477767532538564e+05 2.185427588046286106e+08 2.180417048950443115e+11 1.745380341948288125e+14 4.993276817807685938e+13 0.000000000000000000e+00
9.247217118716349955e-06 1.235085225077597900e+12 1.235078167510916211e+13 1.234372899286282812e+14 1.168410616719801500e+15 2.966622769165661500e+15 2.968064831494809000e+15 2.184414204872223490e+05 2.184364276235921383e+08 2.179378751850050049e+11 1.746249875220403438e+14 5.097246017371160938e+13 0.000000000000000000e+00
9.226272119579959489e-06 1.249443089212623047e+12 1.249435981907404883e+13 1.248725741047283125e+14 1.182278935042641250e+15 3.007894899635676500e+15 3.009384854251676000e+15 2.183311192608852871e+05 2.183261514987613857e+08 2.178301022207337646e+11 1.747084425274382500e+14 5.203309694207955469e+13 0.000000000000000000e+00
9.205327120443569024e-06 1.263721103660678711e+12 1.263713947737459570e+13 1.262998846192481875e+14 1.196077753956091500e+15 3.049161002205003500e+15 3.050700146915061000e+15 2.182168575747162104e+05 2.182119149298144579e+08 2.177183704224100647e+11 1.747883766264321562e+14 5.311508097306906250e+13 0.000000000000000000e+00
9.184382121307178558e-06 1.277916460944940430e+12 1.277909257531390234e+13 1.277189407966277188e+14 1.209804343467273500e+15 3.090414223154597000e+15 3.092003884247286000e+15 2.180986202094389882e+05 2.180937026966729164e+08 2.176026644897401428e+11 1.748647674312710000e+14 5.421882198958326562e+13 0.000000000000000000e+00
9.163437122170788092e-06 1.292026350916393555e+12 1.292019101147070312e+13 1.291294616916122812e+14 1.223455968640055500e+15 3.131647639439979000e+15 3.133289172128188500e+15 2.179763922309883928e+05 2.179714998644616604e+08 2.174829694069244080e+11 1.749375927564669062e+14 5.534473706561013281e+13 0.000000000000000000e+00
9.142492123034399320e-06 1.306047961713324219e+12 1.306040666729426953e+13 1.305311661851607969e+14 1.237029890512360250e+15 3.172854260232926000e+15 3.174549049098274500e+15 2.178501589954523661e+05 2.178452917884523571e+08 2.173592704476072693e+11 1.750068306242271562e+14 5.649325074593574219e+13 0.000000000000000000e+00
9.121547123898008855e-06 1.319978480733692627e+12 1.319971141682805469e+13 1.319237730816430312e+14 1.250523367027043000e+15 3.214027028516007000e+15 3.215776487954524500e+15 2.177199061539946706e+05 2.177150641189849973e+08 2.172315531798071899e+11 1.750724592698901875e+14 5.766479516760030469e+13 0.000000000000000000e+00
9.100602124761618389e-06 1.333815095619957764e+12 1.333807713655793945e+13 1.333070012072825156e+14 1.263933653975940750e+15 3.255158822729747500e+15 3.256964397398633500e+15 2.175856196577546361e+05 2.175808028063685894e+08 2.170998034708235779e+11 1.751344571473653750e+14 5.885981018297820312e+13 0.000000000000000000e+00
