x	denom	arg(denom)
 (0.344739+0.000000j)	 (1.970065-0.000001j)	 (-0.000001+0.000000j)
 (-0.974874+0.000000j)	 (1.746317+0.000004j)	 (0.000002+0.000000j)
 (-0.344739+0.000000j)	 (1.970065+0.000001j)	 (0.000001+0.000000j)
 (0.934640+0.000000j)	 (1.768176-0.000004j)	 (-0.000002+0.000000j)
 (0.364055+0.000000j)	 (1.966587-0.000001j)	 (-0.000001+0.000000j)
 (-0.934640+0.000000j)	 (1.768176+0.000004j)	 (0.000002+0.000000j)
 (-0.364055+0.000000j)	 (1.966587+0.000001j)	 (0.000001+0.000000j)
 (0.878610+0.000000j)	 (1.796676-0.000003j)	 (-0.000002+0.000000j)
 (0.393357+0.000000j)	 (1.960936-0.000001j)	 (-0.000001+0.000000j)
 (-0.878610+0.000000j)	 (1.796676+0.000003j)	 (0.000002+0.000000j)
 (-0.393357+0.000000j)	 (1.960936+0.000001j)	 (0.000001+0.000000j)
 (0.812451+0.000000j)	 (1.827546-0.000003j)	 (-0.000002+0.000000j)
 (0.432129+0.000000j)	 (1.952758-0.000002j)	 (-0.000001+0.000000j)
 (-0.812451+0.000000j)	 (1.827546+0.000003j)	 (0.000002+0.000000j)
 (-0.432129+0.000000j)	 (1.952758+0.000002j)	 (0.000001+0.000000j)
 (0.741343+0.000000j)	 (1.857528-0.000003j)	 (-0.000001+0.000000j)
 (0.479880+0.000000j)	 (1.941576-0.000002j)	 (-0.000001+0.000000j)
 (-0.741343+0.000000j)	 (1.857528+0.000003j)	 (0.000001+0.000000j)
 (-0.479880+0.000000j)	 (1.941576+0.000002j)	 (0.000001+0.000000j)
 (0.669374+0.000000j)	 (1.884659-0.000002j)	 (-0.000001+0.000000j)
 (0.536162+0.000000j)	 (1.926793-0.000002j)	 (-0.000001+0.000000j)
 (-0.669374+0.000000j)	 (1.884659+0.000002j)	 (0.000001+0.000000j)
 (-0.536162+0.000000j)	 (1.926793+0.000002j)	 (0.000001+0.000000j)
 (0.142857+0.000000j)	 (1.994891-0.000000j)	 (-0.000000+0.000000j)
 (-0.142857+0.000000j)	 (1.994891+0.000000j)	 (0.000000+0.000000j)
