x	Re(denom)	Im(denom)	arg(denom)
-2.338748	0.721316	1.348030	1.079473

-1.285714	1.621266	0.329710	0.200630
-2.072323	0.896046	0.961544	0.820643
1.662874	1.300174	-0.531741	-0.388221
-1.285714	1.621266	0.329710	0.200630
1.002138	1.795117	-0.232101	-0.128582
-1.662874	1.300174	0.531741	0.388221

-1.002138	1.795117	0.232101	0.128582
1.002138	1.795117	-0.232101	-0.128582
-1.662874	1.300174	0.531741	0.388221

-1.002138	1.795117	0.232101	0.128582
1.012804	1.789539	-0.235302	-0.130738
1.644238	1.318404	-0.518511	-0.374706
-1.644238	1.318404	0.518511	0.374706
-1.012804	1.789539	0.235302	0.130738

-1.644238	1.318404	0.518511	0.374706
1.607929	1.353307	-0.493984	-0.349992
1.034364	1.778045	-0.241865	-0.135199
-1.607929	1.353307	0.493984	0.349992
1.607929	1.353307	-0.493984	-0.349992
-1.034364	1.778045	0.241865	0.135199

-1.607929	1.353307	0.493984	0.349992
1.556536	1.401199	-0.461850	-0.318397
-1.034364	1.778045	0.241865	0.135199
1.066775	1.760209	-0.251971	-0.142182
1.556536	1.401199	-0.461850	-0.318397
-1.556536	1.401199	0.461850	0.318397
1.066775	1.760209	-0.251971	-0.142182
-1.066775	1.760209	0.251971	0.142182
-1.556536	1.401199	0.461850	0.318397
1.494577	1.456410	-0.426655	-0.284976
-1.066775	1.760209	0.251971	0.142182
1.109124	1.735876	-0.265646	-0.151855
1.494577	1.456410	-0.426655	-0.284976
-1.494577	1.456410	0.426655	0.284976
-1.109124	1.735876	0.265646	0.151855

-1.494577	1.456410	0.426655	0.284976

1.160456	1.704785	-0.283009	-0.164508
-1.109124	1.735876	0.265646	0.151855
1.426391	1.513844	-0.391741	-0.253218
-1.160456	1.704785	0.283009	0.164508
1.160456	1.704785	-0.283009	-0.164508
1.355638	1.569721	-0.359057	-0.224871
-1.426391	1.513844	0.391741	0.253218
1.219822	1.666581	-0.304307	-0.180604
-1.160456	1.704785	0.283009	0.164508
-1.355638	1.569721	0.359057	0.224871
1.355638	1.569721	-0.359057	-0.224871
1.219822	1.666581	-0.304307	-0.180604
0.230769	2.030230	-0.047258	-0.023273
-1.355638	1.569721	0.359057	0.224871
-0.230769	2.030230	0.047258	0.023273
0.332385	2.016698	-0.068524	-0.033965
0.230769	2.030230	-0.047258	-0.023273
0.143555	2.037917	-0.029287	-0.014370
